,wall_time,step,value
0,1770777212.321368,337,84.25
1,1770777212.5293472,650,81.25
2,1770777212.784441,1024,85.33333587646484
3,1770777213.048836,1410,88.125
4,1770777213.322339,1802,90.0999984741211
5,1770777213.593656,2186,91.08333587646484
6,1770777213.849702,2541,90.75
7,1770777214.140609,2937,91.78125
8,1770777214.4571269,3358,93.27777862548828
9,1770777214.6944928,3682,92.05000305175781
10,1770777215.08209,4198,95.40908813476562
11,1770777215.4260328,4655,96.97916412353516
12,1770777215.771792,5101,98.09615325927734
13,1770777216.0937731,5492,98.07142639160156
14,1770777216.3876789,5855,97.58333587646484
15,1770777216.7579288,6297,98.390625
16,1770777217.111587,6721,98.8382339477539
17,1770777217.61644,7330,101.80555725097656
18,1770777218.059469,7843,103.1973648071289
19,1770777218.390188,8221,102.76249694824219
20,1770777218.788758,8675,103.27381134033203
21,1770777219.231683,9164,104.13636016845703
22,1770777219.6793442,9660,105.0
23,1770777220.085713,10095,105.15625
24,1770777220.497529,10537,105.37000274658203
25,1770777220.817445,10875,105.37999725341797
26,1770777221.256531,11346,106.95999908447266
27,1770777221.674602,11769,107.44999694824219
28,1770777222.166356,12272,108.62000274658203
29,1770777222.680097,12794,109.91999816894531
30,1770777223.1044931,13232,110.45999908447266
31,1770777223.598096,13725,111.83999633789062
32,1770777224.058662,14171,112.33999633789062
33,1770777224.390066,14488,111.30000305175781
34,1770777224.836322,14917,112.3499984741211
35,1770777225.209156,15274,110.76000213623047
36,1770777225.8065531,15820,111.6500015258789
37,1770777226.307613,16285,111.83999633789062
38,1770777226.8024828,16739,112.47000122070312
39,1770777227.545011,17402,115.47000122070312
40,1770777228.026295,17830,115.33000183105469
41,1770777228.568059,18303,115.81999969482422
42,1770777229.015529,18695,113.6500015258789
43,1770777229.6892679,19281,114.37999725341797
44,1770777230.2287738,19742,115.20999908447266
45,1770777230.571816,20033,113.58000183105469
46,1770777231.13686,20508,113.44000244140625
47,1770777231.5419252,20851,111.91000366210938
48,1770777232.0928981,21313,112.18000030517578
49,1770777232.550439,21700,111.62999725341797
50,1770777232.9645052,22052,111.7699966430664
51,1770777233.645308,22626,112.80000305175781
52,1770777234.3827531,23251,114.81999969482422
53,1770777235.225733,23961,116.88999938964844
54,1770777235.81159,24458,116.63999938964844
55,1770777236.630024,25147,119.1500015258789
56,1770777237.373776,25778,120.52999877929688
57,1770777237.886307,26210,120.38999938964844
58,1770777238.3347251,26592,121.04000091552734
59,1770777238.9792619,27135,122.18000030517578
60,1770777239.67757,27722,124.4800033569336
61,1770777240.1210299,28094,122.73999786376953
62,1770777240.7447062,28627,123.41999816894531
63,1770777241.40916,29192,124.52999877929688
64,1770777241.868417,29578,121.76000213623047
65,1770777242.519192,30126,122.95999908447266
66,1770777243.176088,30678,123.75
67,1770777243.680131,31102,124.06999969482422
68,1770777244.156974,31500,122.19000244140625
69,1770777244.705121,31962,122.19999694824219
70,1770777245.189093,32369,123.36000061035156
71,1770777245.531142,32656,121.4800033569336
72,1770777246.166982,33192,123.41000366210938
73,1770777246.7216609,33662,123.48999786376953
74,1770777247.3118122,34143,124.43000030517578
75,1770777247.8210251,34574,125.22000122070312
76,1770777248.394654,35057,124.30999755859375
77,1770777248.8877609,35473,122.22000122070312
78,1770777249.439574,35945,119.83999633789062
79,1770777249.863133,36303,118.44999694824219
80,1770777250.342237,36706,115.58999633789062
81,1770777250.7958899,37090,113.12000274658203
82,1770777251.268863,37487,112.7699966430664
83,1770777251.736143,37882,112.9000015258789
84,1770777252.204553,38278,111.43000030517578
85,1770777252.780627,38766,110.44000244140625
86,1770777253.2325492,39150,110.55999755859375
87,1770777253.7844212,39610,109.83000183105469
88,1770777254.296907,40042,108.5
89,1770777254.775948,40444,108.66000366210938
90,1770777255.245596,40839,107.12999725341797
91,1770777255.6982028,41219,105.41000366210938
92,1770777256.118506,41571,104.69000244140625
93,1770777256.497948,41890,103.9000015258789
94,1770777256.890789,42217,102.55000305175781
95,1770777257.296032,42561,101.91999816894531
96,1770777257.720087,42920,102.63999938964844
97,1770777258.07465,43220,100.27999877929688
98,1770777258.462044,43546,98.83999633789062
99,1770777258.89808,43913,97.69999694824219
100,1770777259.296284,44253,96.79000091552734
101,1770777259.645011,44548,94.91000366210938
102,1770777260.019443,44864,93.91000366210938
103,1770777260.394505,45178,92.33000183105469
104,1770777260.817448,45533,92.30000305175781
105,1770777261.226825,45881,91.75
106,1770777261.65787,46246,91.55999755859375
107,1770777262.0460641,46575,90.87999725341797
108,1770777262.447725,46912,90.30000305175781
109,1770777262.819388,47221,89.43000030517578
110,1770777263.1978931,47543,87.7699966430664
111,1770777263.581685,47866,87.16000366210938
112,1770777263.993688,48217,86.06999969482422
113,1770777264.349057,48515,84.7300033569336
114,1770777264.699522,48812,83.68000030517578
115,1770777265.130184,49175,83.36000061035156
116,1770777265.491194,49477,82.58000183105469
117,1770777265.91557,49834,82.62999725341797
118,1770777266.299201,50157,82.66999816894531
119,1770777266.663813,50465,82.4800033569336
120,1770777266.987048,50740,81.79000091552734
121,1770777267.344804,51044,81.23999786376953
122,1770777267.691356,51334,81.13999938964844
123,1770777268.0329401,51624,80.77999877929688
124,1770777268.427575,51943,80.30000305175781
125,1770777268.807589,52261,80.08000183105469
126,1770777269.182828,52581,80.33000183105469
127,1770777269.531896,52873,80.08999633789062
128,1770777269.9250371,53204,80.26000213623047
129,1770777270.297627,53517,79.83999633789062
130,1770777270.69805,53854,79.7300033569336
131,1770777271.0789278,54175,79.29000091552734
132,1770777271.397621,54443,78.68000030517578
133,1770777271.71984,54715,78.02999877929688
134,1770777272.156267,55082,78.61000061035156
135,1770777272.574005,55433,78.9000015258789
136,1770777272.933127,55737,78.70999908447266
137,1770777273.306632,56051,78.33999633789062
138,1770777273.7042859,56387,78.72000122070312
139,1770777274.077425,56702,78.9000015258789
140,1770777274.443329,57009,78.33999633789062
141,1770777274.794962,57304,78.2699966430664
142,1770777275.183816,57630,77.95999908447266
143,1770777275.533438,57922,77.6500015258789
144,1770777275.893802,58228,77.62999725341797
145,1770777276.224818,58507,77.66999816894531
146,1770777276.604074,58824,77.80000305175781
147,1770777276.9910882,59146,78.12000274658203
148,1770777277.371604,59466,78.41999816894531
