,wall_time,step,value
0,1770779918.39938,2048,-317.8144836425781
1,1770779926.469059,4096,-303.408447265625
2,1770779934.648802,6144,-309.2995910644531
3,1770779942.8323462,8192,-300.7270202636719
4,1770779950.8532429,10240,-294.9355163574219
5,1770779959.039712,12288,-288.8526306152344
6,1770779967.254514,14336,-270.7312927246094
7,1770779975.2753222,16384,-274.9653625488281
8,1770779983.469584,18432,-276.6382751464844
9,1770779991.783724,20480,-272.3069763183594
10,1770780000.0144808,22528,-271.3625183105469
11,1770780008.306141,24576,-273.37164306640625
12,1770780016.441644,26624,-260.6065368652344
13,1770780024.543863,28672,-259.25518798828125
14,1770780032.7025752,30720,-247.0912322998047
15,1770780040.737447,32768,-232.74075317382812
16,1770780048.8387609,34816,-246.97926330566406
17,1770780057.122655,36864,-248.74642944335938
18,1770780065.352095,38912,-260.7920837402344
19,1770780073.463252,40960,-261.74700927734375
20,1770780081.56431,43008,-257.9547424316406
21,1770780089.7021592,45056,-241.34524536132812
22,1770780097.8333719,47104,-233.87074279785156
23,1770780106.008321,49152,-226.64085388183594
24,1770780114.268493,51200,-226.7493133544922
25,1770780122.5669482,53248,-215.58363342285156
26,1770780130.777581,55296,-223.27059936523438
27,1770780139.083313,57344,-222.0888671875
28,1770780147.112951,59392,-233.58749389648438
29,1770780155.436237,61440,-233.62232971191406
30,1770780163.6824288,63488,-233.07423400878906
31,1770780171.892561,65536,-227.9718475341797
32,1770780180.115654,67584,-215.88584899902344
33,1770780187.815259,69632,-208.77056884765625
34,1770780195.841443,71680,-208.26829528808594
35,1770780204.0696478,73728,-200.23545837402344
36,1770780212.3742871,75776,-182.9256591796875
37,1770780220.4878132,77824,-182.43856811523438
38,1770780228.608185,79872,-186.37330627441406
39,1770780236.856938,81920,-177.03421020507812
40,1770780244.9699562,83968,-176.1438751220703
41,1770780253.01497,86016,-180.9199676513672
42,1770780261.071587,88064,-177.97010803222656
43,1770780269.32713,90112,-165.3126220703125
44,1770780277.5631318,92160,-166.0142364501953
45,1770780285.653881,94208,-157.6898651123047
46,1770780293.7183082,96256,-156.19972229003906
47,1770780301.841556,98304,-142.43405151367188
48,1770780310.028499,100352,-137.84512329101562
49,1770780317.965533,102400,-136.5697784423828
50,1770780326.143598,104448,-129.39488220214844
51,1770780334.2644439,106496,-134.6359100341797
52,1770780341.9747531,108544,-135.57200622558594
53,1770780349.91183,110592,-136.6929168701172
54,1770780358.030132,112640,-132.00347900390625
55,1770780366.061536,114688,-121.69085693359375
56,1770780374.17946,116736,-128.17991638183594
57,1770780382.09391,118784,-128.5086669921875
58,1770780390.115633,120832,-129.97267150878906
59,1770780398.291862,122880,-127.49835968017578
60,1770780406.398401,124928,-133.80484008789062
61,1770780414.602039,126976,-132.91766357421875
62,1770780422.652042,129024,-133.1667022705078
63,1770780430.75148,131072,-127.25901794433594
64,1770780438.429628,133120,-127.70997619628906
65,1770780446.524173,135168,-119.1623306274414
66,1770780454.639582,137216,-114.43846130371094
67,1770780462.8695319,139264,-113.03568267822266
68,1770780471.078735,141312,-112.08203125
69,1770780479.372997,143360,-111.07421112060547
70,1770780487.702705,145408,-110.75361633300781
71,1770780495.9041731,147456,-115.95750427246094
72,1770780503.478944,149504,-117.04602813720703
73,1770780511.695879,151552,-117.88285827636719
74,1770780520.007064,153600,-107.50385284423828
75,1770780528.090862,155648,-115.28500366210938
76,1770780536.3834062,157696,-107.66633605957031
77,1770780544.653122,159744,-105.35865783691406
78,1770780552.758794,161792,-100.20252990722656
79,1770780560.834941,163840,-107.70610046386719
80,1770780568.980631,165888,-108.35639190673828
81,1770780577.157034,167936,-112.03129577636719
82,1770780585.3776698,169984,-106.1823959350586
83,1770780593.415642,172032,-112.0093002319336
84,1770780601.667686,174080,-113.10100555419922
85,1770780609.7227678,176128,-108.87503051757812
86,1770780617.987827,178176,-110.01046752929688
87,1770780626.1186078,180224,-102.6118392944336
88,1770780634.0441139,182272,-100.15180969238281
89,1770780642.1811788,184320,-100.00057983398438
90,1770780650.082186,186368,-98.51298522949219
91,1770780658.399977,188416,-88.2658920288086
92,1770780666.607399,190464,-88.47923278808594
93,1770780674.771192,192512,-87.34370422363281
94,1770780682.8224692,194560,-88.65071868896484
95,1770780690.995451,196608,-81.89813995361328
96,1770780699.132022,198656,-79.9261474609375
97,1770780707.173019,200704,-74.81779479980469
