,wall_time,step,value
0,1770782457.70484,376,-446.58709716796875
1,1770782457.931062,714,-314.8828125
2,1770782458.195731,1101,-293.3876953125
3,1770782458.4781492,1511,-313.03619384765625
4,1770782458.734092,1874,-302.869140625
5,1770782459.009975,2261,-293.8272705078125
6,1770782459.2437801,2583,-283.6489562988281
7,1770782459.467436,2889,-271.78961181640625
8,1770782459.734496,3253,-273.9646301269531
9,1770782459.996605,3605,-282.139404296875
10,1770782460.313047,4031,-276.96429443359375
11,1770782460.649306,4465,-279.60528564453125
12,1770782460.8878038,4771,-274.8541564941406
13,1770782461.210006,5171,-267.3184509277344
14,1770782461.547436,5597,-263.7860107421875
15,1770782461.96019,6102,-264.20843505859375
16,1770782462.296582,6520,-264.4316101074219
17,1770782462.648074,6943,-264.6960754394531
18,1770782463.053901,7419,-266.9857482910156
19,1770782463.3663502,7782,-262.6924743652344
20,1770782463.8086479,8289,-263.6020202636719
21,1770782464.1790762,8716,-261.55889892578125
22,1770782464.6750169,9268,-258.1650695800781
23,1770782465.274796,9926,-257.8771057128906
24,1770782465.8914602,10591,-254.9127655029297
25,1770782466.350723,11084,-245.6243438720703
26,1770782467.041097,11797,-244.78350830078125
27,1770782467.8027341,12588,-238.854248046875
28,1770782468.460263,13261,-231.1057586669922
29,1770782469.753946,14521,-227.29014587402344
30,1770782470.4469702,15191,-225.40272521972656
31,1770782471.247395,15944,-225.03453063964844
32,1770782472.35935,16961,-224.81076049804688
33,1770782473.530774,18014,-226.0125274658203
34,1770782474.78603,19100,-218.5950927734375
35,1770782476.102829,20213,-214.22128295898438
36,1770782477.2215738,21158,-216.4845428466797
37,1770782478.4979079,22240,-220.33242797851562
38,1770782479.5953448,23164,-221.72589111328125
39,1770782481.0002801,24348,-224.9540252685547
40,1770782482.073291,25250,-219.29884338378906
41,1770782483.643872,26573,-216.16400146484375
42,1770782485.764116,28356,-213.8463134765625
43,1770782487.115964,29499,-207.30746459960938
44,1770782488.108693,30337,-210.02764892578125
45,1770782489.396321,31423,-202.59117126464844
46,1770782490.4957418,32349,-203.18409729003906
47,1770782492.365607,33935,-202.100341796875
48,1770782493.628611,35001,-199.12416076660156
49,1770782495.307403,36428,-192.98728942871094
50,1770782496.3679,37306,-190.75035095214844
51,1770782498.18182,38830,-191.38027954101562
52,1770782499.592235,40023,-195.21878051757812
53,1770782500.968213,41186,-191.3489227294922
54,1770782502.32386,42331,-187.6996307373047
55,1770782503.2776582,43130,-183.10231018066406
56,1770782505.4727502,44980,-177.45518493652344
57,1770782507.269664,46493,-175.11412048339844
58,1770782509.562766,48441,-167.26345825195312
59,1770782510.484148,49223,-165.4058837890625
60,1770782512.1247811,50614,-163.7360076904297
61,1770782514.44926,52574,-153.0719451904297
62,1770782515.5843542,53534,-146.43260192871094
63,1770782517.4543738,55118,-139.84344482421875
64,1770782518.986502,56401,-132.7168731689453
65,1770782519.910671,57177,-133.42791748046875
66,1770782521.272036,58325,-129.39984130859375
67,1770782522.770371,59594,-125.18655395507812
68,1770782524.4113731,60973,-125.39591979980469
69,1770782526.409761,62664,-124.4397201538086
70,1770782529.7549598,65500,-126.11565399169922
71,1770782531.7116191,67158,-122.5450210571289
72,1770782533.043515,68280,-122.8781509399414
73,1770782534.590024,69592,-125.6523208618164
74,1770782536.3315,71063,-130.72335815429688
75,1770782537.852851,72347,-126.5059585571289
76,1770782538.987788,73307,-120.79534912109375
77,1770782540.48098,74550,-116.33900451660156
78,1770782542.912726,76599,-120.88231658935547
79,1770782545.497136,78778,-122.5551528930664
80,1770782546.94011,79996,-121.4489974975586
81,1770782548.481295,81297,-116.82807159423828
82,1770782549.5665212,82212,-119.39337921142578
83,1770782551.1726668,83563,-118.77606201171875
84,1770782553.845522,85806,-120.5317611694336
85,1770782555.196403,86945,-121.62336730957031
86,1770782557.506882,88895,-119.47721099853516
87,1770782558.59316,89807,-114.2966079711914
88,1770782560.687197,91579,-123.93028259277344
89,1770782561.7804658,92491,-125.57152557373047
90,1770782562.758183,93315,-125.11970520019531
91,1770782564.079116,94433,-128.48300170898438
92,1770782566.874371,96797,-127.67974853515625
93,1770782568.184289,97904,-126.86943054199219
94,1770782569.740119,99224,-123.1641616821289
95,1770782571.1330078,100399,-118.13288116455078
96,1770782572.331022,101411,-117.58501434326172
97,1770782573.760915,102613,-117.5573501586914
98,1770782575.464032,104054,-113.39057159423828
99,1770782576.827466,105211,-111.92565155029297
100,1770782578.1041238,106291,-115.15071868896484
101,1770782579.905341,107804,-117.03019714355469
102,1770782582.254113,109773,-119.56514739990234
103,1770782584.189916,111400,-118.7076644897461
104,1770782585.073494,112144,-125.30174255371094
105,1770782587.098662,113859,-128.03993225097656
106,1770782590.178907,116472,-138.27377319335938
107,1770782592.005177,118011,-136.14576721191406
108,1770782595.196822,120726,-131.6145477294922
109,1770782596.94742,122210,-126.91839599609375
110,1770782598.102286,123178,-128.46090698242188
111,1770782600.190757,124947,-131.3965301513672
112,1770782602.277208,126705,-135.5028076171875
113,1770782604.11233,128257,-134.2632598876953
114,1770782606.161248,129979,-133.6769561767578
115,1770782608.089848,131608,-133.09686279296875
116,1770782609.0553532,132417,-129.87416076660156
117,1770782610.028568,133240,-131.46302795410156
118,1770782612.2054322,135078,-121.26175689697266
119,1770782614.089565,136674,-117.54683685302734
120,1770782616.319227,138558,-122.74616241455078
121,1770782617.191027,139295,-122.77233123779297
122,1770782618.663178,140536,-114.83759307861328
123,1770782620.285677,141904,-111.40766906738281
124,1770782621.6419,143048,-110.62271118164062
125,1770782624.0449212,145076,-110.89207458496094
126,1770782625.5726342,146364,-112.94296264648438
127,1770782626.714292,147308,-107.556396484375
128,1770782627.9127738,148313,-104.22842407226562
129,1770782629.2847412,149471,-91.14437103271484
130,1770782630.566889,150551,-88.27568817138672
131,1770782632.544039,152213,-80.98426055908203
132,1770782633.956234,153409,-78.59183502197266
133,1770782636.255933,155353,-78.38570404052734
134,1770782637.43922,156354,-80.27649688720703
135,1770782638.572881,157310,-78.35335540771484
136,1770782639.5418482,158122,-79.14390563964844
137,1770782641.336381,159642,-75.36077880859375
138,1770782642.559469,160674,-70.01377868652344
139,1770782644.32477,162167,-62.658103942871094
140,1770782645.485842,163145,-59.38840866088867
141,1770782647.130256,164540,-56.460113525390625
142,1770782648.480006,165682,-56.11453628540039
143,1770782650.620105,167475,-64.59496307373047
144,1770782652.328779,168911,-69.08979034423828
145,1770782654.1578481,170445,-69.74541473388672
146,1770782656.5022268,172421,-65.26301574707031
147,1770782658.7869818,174354,-73.5157699584961
148,1770782660.376368,175695,-71.6371841430664
149,1770782662.2478652,177279,-70.83427429199219
150,1770782663.598131,178413,-66.02227783203125
151,1770782665.396383,179930,-63.447113037109375
152,1770782667.1775308,181445,-66.21583557128906
153,1770782668.334904,182428,-65.34774780273438
154,1770782670.708083,184417,-68.70568084716797
155,1770782672.37022,185819,-69.34329223632812
156,1770782674.121578,187290,-70.91390228271484
157,1770782675.622995,188557,-72.79103088378906
158,1770782677.840199,190428,-76.00150299072266
159,1770782679.143738,191526,-75.05508422851562
160,1770782679.8494642,192120,-75.33332061767578
161,1770782680.961518,193057,-79.3226089477539
162,1770782683.859322,195509,-82.16388702392578
163,1770782685.293223,196720,-80.23495483398438
164,1770782686.244509,197523,-87.9908447265625
165,1770782687.6352,198693,-88.05452728271484
