,wall_time,step,value
0,1770782691.885654,500,-285.66583251953125
1,1770782695.1256151,1000,-203.27224731445312
2,1770782696.9245849,1500,-266.0704345703125
3,1770782698.7115982,2000,-236.4640350341797
4,1770782700.503428,2500,-240.77438354492188
5,1770782702.297508,3000,-254.6695556640625
6,1770782704.092083,3500,-256.88702392578125
7,1770782705.887017,4000,-249.75692749023438
8,1770782707.6841369,4500,-269.9556579589844
9,1770782709.470752,5000,-280.38275146484375
10,1770782711.257584,5500,-277.101806640625
11,1770782713.1386182,6000,-281.835205078125
12,1770782714.9302452,6500,-282.4810485839844
13,1770782716.727807,7000,-281.4808654785156
14,1770782718.521111,7500,-274.3460998535156
15,1770782720.313011,8000,-265.21820068359375
16,1770782722.106716,8500,-261.4373779296875
17,1770782723.751806,9000,-257.25091552734375
18,1770782725.4220722,9500,-253.1640625
19,1770782727.219007,10000,-262.78765869140625
20,1770782729.022222,10500,-277.3629455566406
21,1770782730.824147,11000,-284.86529541015625
22,1770782732.627577,11500,-309.0646057128906
23,1770782734.486866,12000,-326.55780029296875
24,1770782736.2844212,12500,-347.675048828125
25,1770782738.080724,13000,-356.8373718261719
26,1770782739.874099,13500,-358.46917724609375
27,1770782741.667215,14000,-362.036376953125
28,1770782743.465249,14500,-357.0486755371094
29,1770782745.2546098,15000,-364.13140869140625
30,1770782747.049904,15500,-366.9860534667969
31,1770782748.843324,16000,-365.7685546875
32,1770782750.642006,16500,-369.3873596191406
33,1770782752.4409542,17000,-367.3653259277344
34,1770782754.232057,17500,-368.95928955078125
35,1770782756.093911,18000,-369.3726501464844
36,1770782757.892291,18500,-371.51611328125
37,1770782759.6988192,19000,-373.8088684082031
38,1770782761.506208,19500,-386.0625915527344
39,1770782763.3133109,20000,-386.0587463378906
40,1770782765.1155882,20500,-384.4382019042969
41,1770782766.9194272,21000,-384.4382019042969
42,1770782768.722378,21500,-381.9358825683594
43,1770782770.51088,22000,-373.1759948730469
44,1770782772.315265,22500,-373.1759948730469
45,1770782774.110593,23000,-365.8450927734375
46,1770782775.905129,23500,-365.8450927734375
47,1770782777.809283,24000,-363.8274230957031
48,1770782779.609225,24500,-356.3450927734375
49,1770782781.4127219,25000,-351.0166320800781
50,1770782783.218862,25500,-351.0166320800781
51,1770782785.0283892,26000,-334.3518981933594
52,1770782786.8351948,26500,-324.5525817871094
53,1770782788.622068,27000,-324.5525817871094
54,1770782790.419911,27500,-304.5482482910156
55,1770782792.214574,28000,-301.47991943359375
56,1770782793.99876,28500,-301.47991943359375
57,1770782795.79646,29000,-284.2147521972656
58,1770782797.585372,29500,-284.2147521972656
59,1770782799.455692,30000,-277.8836975097656
60,1770782801.250921,30500,-269.9773864746094
61,1770782803.055182,31000,-269.9773864746094
62,1770782804.864545,31500,-259.6429138183594
63,1770782806.662709,32000,-249.8341827392578
64,1770782808.451852,32500,-236.03717041015625
65,1770782810.247392,33000,-221.06422424316406
66,1770782812.04349,33500,-221.85113525390625
67,1770782813.837876,34000,-221.50146484375
68,1770782815.6313112,34500,-212.15081787109375
69,1770782817.415457,35000,-206.5626678466797
70,1770782819.208172,35500,-204.66429138183594
71,1770782821.054246,36000,-204.66429138183594
72,1770782822.857148,36500,-199.59339904785156
73,1770782824.6628952,37000,-179.90728759765625
74,1770782826.4580638,37500,-169.71035766601562
75,1770782828.250209,38000,-165.45452880859375
76,1770782830.0199769,38500,-165.45452880859375
77,1770782831.8159869,39000,-161.49444580078125
78,1770782833.612514,39500,-152.45115661621094
79,1770782835.4083111,40000,-148.9829559326172
80,1770782837.1880279,40500,-147.59219360351562
